time,subjectID,trialtype,quantifier,resultative,item,itemNum,response,RTs
1589873419,bb0f7574c0757da55c1c83bb41048d61,main,each,nores,book,3,All the bookcases were dusted by the same janitor.,14014
1589873419,bb0f7574c0757da55c1c83bb41048d61,main,each,yesres,shirt,2,All the shirts were dyed by the same helper until they were the color blue.,5744
1589873419,bb0f7574c0757da55c1c83bb41048d61,filler,good2,2,movies,NULL,Exactly three girls went to the movies.,5150
1589873419,bb0f7574c0757da55c1c83bb41048d61,main,every,nores,mirror,1,All the mirrors were polished by the same maid.,3203
1589873419,bb0f7574c0757da55c1c83bb41048d61,main,every,yesres,bush,4,All the bushes were pruned by the same gardener until they were short.,10888
1589873419,bb0f7574c0757da55c1c83bb41048d61,filler,good1,1,beach,NULL,Nobody but one boy enjoyed the show on the beach.,4847
1589873452,10349c5d5f05e6f78f20566a1e48cf61,main,every,yesres,book,3,All the bookcases were dusted by the same janitor until they were spotless.,36679
1589873452,10349c5d5f05e6f78f20566a1e48cf61,main,each,nores,shirt,2,All the shirts were dyed by the same helper.,16512
1589873452,10349c5d5f05e6f78f20566a1e48cf61,filler,good2,2,movies,NULL,Exactly three girls went to the movies.,10046
1589873452,10349c5d5f05e6f78f20566a1e48cf61,main,each,yesres,mirror,1,All the mirrors were polished by the same maid until they were spotless.,13285
1589873452,10349c5d5f05e6f78f20566a1e48cf61,main,every,nores,bush,4,All the bushes were pruned by the same gardener.,6318
1589873452,10349c5d5f05e6f78f20566a1e48cf61,filler,good1,1,beach,NULL,Nobody but one boy enjoyed the show on the beach.,12921